Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_Spending,Total_Purchases,Children
1946,Graduation,Together,37760.0,0,0,84,38,150,12,28,2,4,1,6,7,0,0,80,312,11,0
1949,Master,Married,76995.0,0,1,1012,498,0,16,176,2,11,4,9,5,0,0,77,1702,24,1
1985,2n Cycle,Single,33812.0,1,0,4,19,30,24,39,2,2,1,3,6,0,0,41,116,6,1
1982,Graduation,Married,37040.0,0,0,86,73,69,38,48,1,4,2,5,8,0,0,44,314,11,0
1979,Graduation,Married,2447.0,1,0,1,1725,1,1,1,15,0,28,0,1,0,0,47,1729,28,1
1949,PhD,Married,58607.0,0,1,867,86,0,0,19,3,2,3,9,8,0,0,77,972,14,1
1954,PhD,Married,65324.0,0,1,384,102,21,32,5,3,6,2,9,4,0,0,72,544,17,1
1951,Graduation,Together,40689.0,0,1,270,27,39,6,99,7,7,1,5,8,0,0,75,441,13,1
1969,Graduation,Single,18589.0,0,0,6,25,15,12,13,2,2,1,3,7,0,0,57,71,6,0
1976,Graduation,Married,53359.0,1,1,173,30,3,6,41,4,5,1,4,7,0,0,50,253,10,2
1989,Graduation,Married,38360.0,1,0,36,42,20,21,10,2,2,1,4,3,0,0,37,129,7,1
1965,PhD,Married,84618.0,0,0,684,801,21,66,0,1,6,9,10,2,0,0,61,1572,25,0
1989,Master,Divorced,10979.0,0,0,8,10,2,2,4,2,3,0,3,5,0,0,37,26,6,0
1963,Master,Together,38620.0,0,0,112,44,34,22,89,1,2,5,3,3,0,0,63,301,10,0
1970,Graduation,Together,40548.0,0,1,110,5,2,0,3,2,2,1,4,5,0,0,56,120,7,1
1952,PhD,Divorced,46610.0,0,2,96,96,33,22,43,6,4,1,6,6,0,1,74,290,11,2
1946,Master,Married,68657.0,0,0,482,471,119,68,22,1,3,5,9,7,0,0,80,1162,17,0
1951,Master,Single,49389.0,1,1,40,19,2,1,3,1,2,0,3,7,0,0,75,65,5,2
1970,PhD,Married,67353.0,0,1,702,151,0,8,35,5,5,6,12,2,0,0,56,896,23,1
1976,2n Cycle,Married,23718.0,1,0,6,14,15,7,36,3,3,1,2,7,0,0,50,78,6,1
1973,Graduation,Widow,42429.0,0,1,55,6,2,0,4,2,1,1,3,5,0,0,53,67,5,1
1943,PhD,Divorced,48948.0,0,0,437,206,160,49,42,2,7,10,5,6,0,1,83,894,22,0
1980,Graduation,Married,80011.0,0,1,421,536,82,178,102,2,8,6,5,4,0,0,46,1319,19,1
1985,Master,Married,20559.0,1,0,13,29,3,0,7,2,2,0,3,8,0,0,41,52,5,1
1957,Graduation,Together,21994.0,0,1,9,6,3,1,3,1,0,0,3,5,0,0,69,22,3,1
1975,Master,Married,7500.0,1,0,3,10,3,2,12,3,2,0,3,5,0,0,51,30,5,1
1976,Graduation,Single,79941.0,0,0,123,266,227,30,174,1,2,4,9,1,0,0,50,820,15,0
1996,2n Cycle,Married,7500.0,0,0,3,14,15,22,50,3,3,1,3,9,0,1,30,104,7,0
1968,Graduation,Together,41728.0,1,0,13,15,3,5,13,1,2,0,2,10,0,0,58,49,4,1
1954,PhD,Married,72550.0,1,1,826,317,50,38,38,9,5,2,12,8,0,0,72,1269,19,2
1957,Graduation,Widow,65486.0,0,1,245,125,37,67,14,1,4,2,10,2,0,0,69,488,16,1
1964,Master,Married,79143.0,0,0,650,780,27,167,32,1,6,9,13,3,0,0,62,1656,28,0
1977,Graduation,Single,35790.0,1,0,12,20,30,1,3,2,2,0,3,7,0,0,49,66,5,1
1977,Graduation,Divorced,82582.0,0,0,510,550,156,40,241,1,4,9,7,1,0,1,49,1497,20,0
1978,Graduation,Married,66373.0,1,1,328,124,12,24,109,7,4,2,10,3,0,0,48,597,16,2
1955,Master,Together,82384.0,0,0,984,432,180,120,190,1,3,10,13,1,0,1,71,1906,26,0
1966,Graduation,Divorced,70287.0,0,0,295,482,121,120,40,1,5,5,10,3,0,1,60,1058,20,0
1988,Graduation,Single,27938.0,1,0,13,8,2,1,5,1,1,0,4,3,0,0,38,29,5,1
1968,PhD,Married,55954.0,0,1,447,28,0,0,43,3,8,2,6,7,0,0,58,518,16,1
1982,Master,Single,75777.0,0,0,712,538,69,13,80,1,3,6,11,1,0,1,44,1412,20,0
1975,Graduation,Together,66653.0,1,1,452,102,16,18,6,4,4,2,12,3,0,0,51,594,18,2
1952,Graduation,Single,61823.0,0,1,523,134,37,14,169,4,8,2,10,7,0,0,74,877,20,1
1951,PhD,Widow,67680.0,0,1,546,48,0,6,6,1,7,3,8,5,0,0,75,606,18,1
1948,Graduation,Together,70666.0,0,0,398,367,119,122,30,1,7,4,4,4,0,0,78,1036,15,0
1971,Graduation,Married,25721.0,1,0,1,6,3,6,15,1,1,1,2,7,0,1,55,31,4,1
1967,Graduation,Together,32474.0,1,1,10,1,0,0,0,1,1,0,2,7,0,0,59,11,3,2
1979,2n Cycle,Single,88194.0,0,1,688,309,201,24,38,1,11,10,10,5,0,1,47,1260,31,1
1958,Graduation,Together,69096.0,0,1,247,159,7,82,109,1,5,2,10,4,0,0,68,604,17,1
1970,Graduation,Together,74854.0,1,2,856,487,58,29,73,7,2,5,5,5,0,0,56,1503,12,3
1954,Master,Married,66991.0,0,0,496,460,189,60,12,3,4,8,6,3,0,0,72,1217,18,0
1959,Graduation,Married,65031.0,0,1,258,291,84,37,86,4,10,3,13,7,0,0,67,756,26,1
1975,PhD,Married,60631.0,1,1,565,65,0,6,19,5,9,2,8,7,0,0,51,655,19,2
1952,Graduation,Married,28332.0,0,0,14,13,4,15,9,1,2,1,4,2,0,0,74,55,7,0
1977,Graduation,Divorced,40246.0,1,0,2,6,2,1,1,1,1,0,2,6,0,0,49,12,3,1
1972,Master,Married,75251.0,0,0,721,925,97,18,18,1,7,6,5,5,0,1,54,1779,18,0
1976,Graduation,Single,75825.0,0,0,1032,779,137,105,51,0,5,8,9,4,0,1,50,2104,22,0
1976,2n Cycle,Together,26326.0,0,0,1,5,0,3,9,1,0,0,3,3,1,0,50,18,3,0
1965,Graduation,Together,56046.0,0,0,577,64,0,0,51,2,10,1,8,8,0,1,61,692,19,0
1985,Graduation,Single,29760.0,1,0,64,68,7,5,17,4,3,1,4,8,0,0,41,161,8,1
1969,Graduation,Married,26304.0,1,0,4,5,2,0,4,1,1,0,2,7,0,0,57,15,3,1
1973,2n Cycle,Married,23559.0,1,0,25,19,7,0,23,3,3,0,3,7,0,0,53,74,6,1
1987,Graduation,Divorced,81361.0,0,0,163,424,27,65,76,1,3,10,13,1,0,0,39,755,26,0
1960,Graduation,Married,29440.0,1,1,17,14,10,4,3,2,1,0,4,7,0,0,66,48,5,2
1970,Master,Married,36138.0,1,1,130,16,0,0,5,5,3,1,4,7,0,0,56,151,8,2
1957,Graduation,Single,50388.0,0,1,292,37,0,3,34,4,6,1,6,7,0,1,69,366,13,1
1973,Graduation,Married,79593.0,0,0,350,568,110,133,145,1,5,6,7,2,0,0,53,1306,18,0
1967,Graduation,Together,54178.0,0,1,135,39,4,0,7,1,2,2,5,2,0,0,59,185,9,1
1972,Master,Single,42394.0,1,0,15,10,0,1,4,1,1,0,3,7,0,0,54,30,4,1
1970,PhD,Married,23626.0,1,0,27,14,0,0,0,3,3,1,3,5,0,0,56,41,7,1
1983,Graduation,Married,30096.0,1,0,5,11,12,5,9,1,2,0,3,6,0,0,43,42,5,1
1960,Graduation,Widow,47916.0,0,1,505,26,0,0,75,5,7,4,6,6,0,0,66,606,17,1
1972,Graduation,Divorced,51813.0,1,1,51,7,0,1,2,2,2,0,3,7,0,0,54,61,5,2
1951,2n Cycle,Married,78497.0,0,0,207,447,75,0,223,1,5,7,12,2,0,0,75,952,24,0
1983,PhD,Married,50150.0,0,0,135,92,65,61,11,2,5,2,7,5,0,0,43,364,14,0
1960,2n Cycle,Single,47823.0,0,1,53,5,2,1,10,2,2,0,3,8,0,0,66,71,5,1
1959,PhD,Single,34554.0,0,1,41,6,2,0,5,2,2,0,3,6,0,0,67,54,5,1
1979,Graduation,Together,85693.0,0,1,386,183,185,132,111,2,9,5,11,5,0,0,47,997,25,1
1945,PhD,Married,65846.0,0,0,562,276,80,40,81,1,6,3,6,4,0,0,81,1039,15,0
1959,Graduation,Married,87195.0,0,0,217,690,50,26,38,1,3,11,5,1,0,1,67,1021,19,0
1979,Basic,Together,24594.0,1,0,1,6,10,0,9,1,1,0,3,5,0,0,47,26,4,1
1964,Graduation,Married,49096.0,1,1,144,32,2,1,7,4,4,1,4,7,0,0,62,186,9,2
1969,Graduation,Married,52413.0,0,2,295,271,75,98,65,4,6,4,12,6,0,0,57,804,22,2
1978,Graduation,Single,38557.0,1,0,76,31,4,4,27,2,3,1,3,7,0,0,48,142,7,1
1960,Master,Married,89058.0,0,0,454,106,31,22,43,1,5,4,4,2,0,0,66,656,13,0
1979,Graduation,Together,77298.0,0,1,425,292,23,35,79,1,6,6,11,3,0,0,47,854,23,1
1991,PhD,Single,68126.0,0,0,1332,311,23,51,86,1,7,4,5,9,0,1,35,1803,16,0
1963,Master,Together,57288.0,0,1,527,21,0,0,60,3,8,1,8,6,0,0,63,608,17,1
1991,Graduation,Single,86037.0,0,0,490,125,29,20,22,1,6,7,11,3,0,1,35,686,24,0
1980,PhD,Married,43974.0,1,0,378,101,0,0,72,5,6,4,6,7,0,0,46,551,16,1
1962,Graduation,Single,50785.0,1,1,64,21,0,1,27,2,2,1,3,6,0,0,64,113,6,2
1970,Graduation,Married,90765.0,0,0,547,812,151,82,33,0,4,6,5,1,0,0,56,1625,15,0
1978,2n Cycle,Married,36550.0,1,0,47,94,123,103,120,5,9,1,5,9,0,0,48,487,15,1
1967,2n Cycle,Together,30753.0,1,1,12,25,0,9,30,2,1,1,3,5,0,0,59,76,5,2
1969,Graduation,Together,21918.0,1,0,1,7,11,5,3,2,2,0,3,6,0,0,57,27,5,1
1953,Master,Together,56129.0,0,1,320,133,39,72,48,4,6,2,10,4,0,0,73,612,18,1
1967,Master,Single,32557.0,1,0,34,29,0,4,10,3,2,1,3,5,0,1,59,77,6,1
1985,Master,Married,19510.0,2,0,9,7,3,4,7,2,1,0,3,7,0,0,41,30,4,2
1976,Graduation,Divorced,30992.0,1,0,17,14,7,3,2,1,1,0,3,7,0,0,50,43,4,1
1983,Graduation,Single,101970.0,0,0,722,102,44,72,168,0,6,8,13,2,0,1,43,1108,27,0
1965,2n Cycle,Together,71488.0,0,0,162,124,40,28,172,2,3,4,7,1,0,0,61,526,14,0
1984,Graduation,Single,79607.0,0,0,450,951,173,0,216,1,3,6,6,1,0,1,42,1790,15,0
1953,Master,Married,54348.0,1,1,70,16,0,0,4,2,2,0,4,6,0,0,73,90,6,2
1956,PhD,Together,77376.0,1,1,492,110,16,12,12,4,6,3,10,4,0,0,70,642,19,2
1952,Graduation,Married,62998.0,0,1,120,73,65,89,58,5,5,4,5,5,0,0,74,405,14,1
1958,Master,Alone,61331.0,1,1,534,47,0,5,41,5,11,1,6,8,0,0,68,627,18,2
1969,Graduation,Married,73448.0,0,0,236,189,23,41,130,1,7,2,9,4,0,0,57,619,18,0
1964,PhD,Married,41551.0,1,1,220,33,3,0,23,5,5,1,5,8,0,0,62,279,11,2
1967,PhD,Together,62981.0,0,0,796,590,38,44,0,1,4,5,13,3,0,0,59,1468,22,0
1976,Basic,Divorced,9548.0,1,0,0,3,10,6,9,2,1,0,3,8,0,0,50,28,4,1
1959,PhD,Married,33762.0,2,1,53,34,2,0,16,3,2,2,2,8,0,0,67,105,6,3
1973,PhD,Alone,35860.0,1,1,15,8,4,2,20,2,1,1,2,5,0,1,53,49,4,2
1965,PhD,Divorced,36921.0,1,1,17,12,3,1,4,2,2,0,3,7,0,0,61,37,5,2
1992,Master,Single,92859.0,0,0,962,921,52,61,20,1,5,4,12,2,0,0,34,2016,21,0
1976,Master,Together,65104.0,0,1,738,232,13,20,50,2,3,5,7,7,0,1,50,1053,15,1
1962,Graduation,Married,86111.0,0,0,399,756,36,40,126,1,5,7,10,2,0,0,64,1357,22,0
1974,PhD,Single,68352.0,0,1,614,132,43,33,33,3,8,5,9,6,0,0,52,855,22,1
1988,Graduation,Together,41883.0,1,0,32,41,73,16,116,3,4,2,3,7,0,0,38,278,9,1
1976,Graduation,Married,59809.0,0,2,598,141,32,41,49,3,3,3,6,8,0,0,50,861,12,2
1975,Graduation,Married,23957.0,1,0,2,18,20,11,16,1,2,0,3,6,0,1,51,67,5,1
1981,Graduation,Together,38547.0,1,0,6,10,0,1,4,1,1,0,2,8,1,0,45,21,3,1
1973,2n Cycle,Married,35688.0,2,1,73,90,12,1,32,7,4,1,4,8,0,0,53,208,9,3
1966,Master,Married,49605.0,0,0,42,29,12,20,8,1,2,1,4,3,0,0,60,111,7,0
1953,Master,Married,59354.0,0,2,295,78,39,13,13,1,4,4,7,3,0,0,73,438,15,2
1969,Graduation,Married,65747.0,0,1,346,48,23,13,13,4,8,1,6,6,0,0,57,443,15,1
1972,2n Cycle,Together,46344.0,0,1,233,57,8,20,91,4,7,1,5,7,0,0,54,409,13,1
1988,Graduation,Alone,34176.0,1,0,5,24,19,14,20,4,3,0,4,6,0,0,38,82,7,1
1952,PhD,Together,61010.0,0,1,888,57,0,0,76,2,8,5,11,5,0,0,74,1021,24,1
1949,Graduation,Together,69372.0,0,0,997,269,34,13,42,1,10,4,6,4,0,1,77,1355,20,0
1958,Graduation,Single,49967.0,0,1,212,69,4,12,3,3,6,1,5,7,0,0,68,300,12,1
1978,Graduation,Single,60199.0,1,2,8,7,2,0,0,1,0,0,3,4,0,0,48,17,3,3
1977,Graduation,Together,55375.0,0,1,42,57,10,28,14,1,1,1,6,2,0,0,49,151,8,1
1955,Graduation,Single,80317.0,0,0,536,387,149,91,57,1,3,4,10,1,0,0,71,1220,17,0
1958,Master,Single,30523.0,2,1,5,3,0,0,5,1,1,0,2,7,0,0,68,13,3,3
1945,PhD,Married,70356.0,0,0,1349,249,43,16,33,2,10,6,9,6,0,0,81,1690,25,0
1984,Graduation,Married,23228.0,1,0,53,49,7,4,5,4,3,0,4,8,0,0,42,118,7,1
1975,PhD,Divorced,74165.0,0,0,1001,240,16,12,12,1,5,4,10,2,0,0,51,1281,19,0
1973,PhD,Married,157243.0,0,1,20,1582,1,2,1,15,0,22,0,0,0,0,53,1606,22,1
1966,Graduation,Together,43482.0,2,1,18,32,6,3,28,3,2,0,4,6,0,0,60,87,6,3
1953,Graduation,Divorced,62551.0,0,0,125,98,134,21,27,1,6,7,4,3,0,0,73,405,17,0
1959,Graduation,Divorced,52332.0,0,0,212,33,7,0,2,1,3,2,6,4,0,0,67,254,11,0
1988,Graduation,Single,66951.0,0,0,277,305,173,76,124,1,3,4,7,1,0,0,38,955,14,0
1957,Graduation,Together,26091.0,1,1,15,19,8,17,20,3,2,1,3,5,0,0,69,79,6,2
1965,Graduation,Together,33456.0,1,1,7,10,8,1,7,2,1,0,3,7,0,0,61,33,4,2
1982,Graduation,Married,28718.0,1,0,12,6,11,8,16,2,2,0,3,8,0,0,44,53,5,1
1970,Graduation,Married,50447.0,2,0,85,24,2,3,27,1,3,1,3,6,0,0,56,141,7,2
1959,PhD,Together,53537.0,1,1,81,6,0,0,6,2,2,1,3,5,0,0,67,93,6,2
1967,Graduation,Single,52074.0,0,1,59,12,0,0,48,1,2,2,2,4,0,0,59,119,6,1
1975,PhD,Married,80427.0,0,1,1149,449,69,71,26,1,11,8,8,5,0,0,51,1764,27,1
1948,PhD,Married,83837.0,0,0,847,119,86,89,111,1,9,10,5,4,0,1,78,1252,24,0
1970,PhD,Married,38853.0,1,1,29,14,0,0,2,2,2,0,3,7,0,0,56,45,5,2
1959,Graduation,Together,38285.0,2,1,2,5,2,0,1,1,0,0,3,2,0,0,67,10,3,3
1976,PhD,Married,51650.0,0,1,152,22,2,5,7,1,4,1,4,5,0,0,50,188,9,1
1988,2n Cycle,Married,16248.0,1,0,12,10,3,12,9,3,2,1,3,6,0,0,38,46,6,1
1946,Master,Married,66835.0,0,0,620,195,34,17,141,1,6,4,13,2,0,0,80,1007,23,0
1984,Master,Married,30477.0,1,0,47,6,0,0,12,1,1,1,3,6,0,0,42,65,5,1
1961,Basic,Married,28249.0,0,0,1,7,2,14,10,1,2,0,3,6,0,0,65,34,5,0
1983,Graduation,Married,25271.0,1,0,10,18,10,4,7,1,1,1,2,9,0,0,43,49,4,1
1970,PhD,Single,32303.0,0,1,35,2,0,0,2,2,1,0,4,5,0,0,56,39,5,1
1966,Graduation,Married,61286.0,0,1,356,107,19,9,117,2,7,1,8,5,0,0,60,608,16,1
1976,Graduation,Married,74068.0,0,0,783,537,140,76,15,1,4,10,9,2,0,0,50,1551,23,0
1964,PhD,Married,45759.0,1,1,42,18,3,0,4,2,2,0,3,7,0,0,62,67,5,2
1978,Basic,Together,24882.0,1,0,1,10,29,0,36,1,1,1,2,6,0,0,48,76,4,1
1989,PhD,Together,66973.0,0,0,466,432,147,113,102,1,8,7,12,3,0,0,37,1260,27,0
1988,Graduation,Married,38872.0,1,0,23,21,3,19,22,2,3,0,3,8,0,0,38,88,6,1
1973,Graduation,Married,51148.0,1,1,235,45,8,9,12,4,5,1,6,6,0,0,53,309,12,2
1977,Graduation,Married,31353.0,1,1,10,10,3,1,7,2,1,1,2,8,0,0,49,31,4,2
1980,Master,Married,69661.0,0,0,656,106,32,16,8,1,7,3,12,3,0,0,46,818,22,0
1954,Graduation,Married,80067.0,0,0,519,813,27,173,51,1,4,6,6,2,0,0,72,1583,16,0
1954,Graduation,Married,86718.0,0,0,344,482,50,33,172,1,5,6,5,2,0,0,72,1081,16,0
1973,PhD,Single,46854.0,1,1,96,79,7,1,79,6,5,1,3,8,0,1,53,262,9,2
1952,Graduation,Divorced,69142.0,0,1,448,34,6,4,39,3,8,1,7,5,0,0,74,531,16,1
1968,Graduation,Single,75922.0,0,0,265,553,224,23,92,1,4,4,9,1,0,0,58,1157,17,0
1978,Graduation,Divorced,63693.0,0,1,587,337,42,87,54,3,11,6,9,6,0,0,48,1107,26,1
1977,PhD,Together,102160.0,0,0,763,138,76,176,58,0,7,9,10,4,0,1,49,1211,26,0
1965,PhD,Single,40637.0,1,1,22,13,0,0,3,2,1,0,3,7,0,0,61,38,4,2
1984,Master,Single,18890.0,0,0,6,1,7,2,15,1,0,1,2,6,0,1,42,31,3,0
1988,Graduation,Together,29604.0,1,0,7,13,7,6,14,1,1,0,3,9,0,0,38,47,4,1
1963,Master,Divorced,48721.0,1,1,81,113,47,13,21,6,4,2,5,6,0,0,63,275,11,2
1966,Graduation,Married,44794.0,0,1,54,7,0,0,4,1,2,0,3,6,0,0,60,65,5,1
1954,Graduation,Divorced,64497.0,0,1,1170,320,42,32,192,5,11,4,9,8,0,1,72,1756,24,1
1956,Graduation,Together,46097.0,0,1,72,68,65,4,8,5,3,1,6,4,0,0,70,217,10,1
1954,Graduation,Together,77972.0,0,0,613,319,33,102,12,1,4,6,9,1,0,0,72,1079,19,0
1968,PhD,Married,44377.0,1,1,224,30,0,0,10,8,5,1,5,8,0,0,58,264,11,2
1974,Master,Together,46014.0,1,1,410,59,19,9,44,10,7,1,8,7,0,0,52,541,16,2
1985,Graduation,Married,70951.0,0,0,239,554,254,87,54,1,3,4,9,1,0,0,41,1188,16,0
1977,Graduation,Married,41443.0,1,0,171,171,25,19,89,6,8,1,5,8,0,0,49,475,14,1
1978,2n Cycle,Single,52195.0,2,1,12,4,0,0,1,1,1,0,2,8,0,0,48,17,3,3
1948,Master,Married,83790.0,0,0,1076,417,42,48,16,1,8,10,6,3,0,0,78,1599,24,0
1954,Master,Widow,44551.0,0,1,182,33,0,0,66,2,4,1,5,7,0,0,72,281,10,1
1980,Graduation,Together,69508.0,1,0,824,162,42,32,43,2,11,4,11,6,0,0,46,1103,26,1
1988,2n Cycle,Together,45204.0,1,0,30,25,29,1,18,1,1,1,4,3,0,0,38,103,6,1
1969,Graduation,Married,72460.0,0,0,377,540,80,30,10,1,3,5,7,1,0,0,57,1037,15,0
1970,PhD,Together,77622.0,0,2,520,154,19,0,14,2,6,3,11,3,0,0,56,707,20,2
1980,PhD,Married,30732.0,1,0,155,25,0,1,3,4,4,1,4,8,0,0,46,184,9,1
1962,Graduation,Divorced,63887.0,0,1,897,207,15,11,92,5,9,6,12,6,0,0,64,1222,27,1
1978,Graduation,Together,42011.0,1,0,131,16,2,1,39,4,3,1,4,8,0,0,48,189,8,1
1976,Graduation,Together,51369.0,0,1,297,79,0,11,182,2,8,2,4,8,0,0,50,569,14,1
1952,Graduation,Divorced,51537.0,0,1,787,204,0,0,92,3,2,2,11,8,0,0,74,1083,15,1
1972,PhD,Married,79930.0,0,0,792,740,67,51,17,1,3,5,8,2,0,0,54,1667,16,0
1986,PhD,Together,34320.0,1,0,4,9,3,0,0,1,1,0,2,8,0,0,40,16,3,1
1966,Graduation,Single,37070.0,1,1,231,137,4,15,39,9,5,1,8,7,0,1,60,426,14,2
1962,2n Cycle,Divorced,81975.0,0,1,983,184,180,138,27,1,6,3,4,7,0,0,64,1512,13,1
1971,Graduation,Together,38590.0,1,0,3,8,4,3,3,1,1,0,2,8,0,0,55,21,3,1
1951,Graduation,Single,15033.0,0,0,0,5,6,0,4,1,1,0,3,3,0,0,75,15,4,0
1965,PhD,Married,62745.0,0,1,562,464,28,10,32,3,7,8,11,5,0,0,61,1096,26,1
1975,2n Cycle,Married,22212.0,1,0,5,20,6,8,21,2,2,0,4,6,0,0,51,60,6,1
1982,Master,Together,23661.0,1,0,18,4,0,0,1,1,1,0,3,7,0,0,44,23,4,1
1958,PhD,Single,79761.0,0,1,415,124,15,35,11,1,5,2,11,3,0,0,68,600,18,1
1973,Graduation,Single,7500.0,1,0,5,10,12,7,20,4,3,1,3,7,0,0,53,54,7,1
1968,Graduation,Widow,73455.0,0,0,901,757,186,163,20,1,6,5,10,3,0,0,58,2027,21,0
1958,Graduation,Together,64961.0,0,1,382,276,75,124,38,2,6,4,4,3,0,0,68,895,14,1
1971,Graduation,Single,22804.0,1,0,14,7,2,1,1,1,2,0,2,9,0,0,55,25,4,1
1990,Graduation,Married,73687.0,0,0,559,503,218,13,181,1,3,9,9,2,0,1,36,1474,21,0
1958,Graduation,Married,61074.0,0,1,789,133,0,28,152,7,11,5,8,7,0,0,68,1102,24,1
1964,PhD,Married,31686.0,1,1,11,5,0,0,1,2,1,0,3,6,0,0,62,17,4,2
1972,Graduation,Married,80134.0,1,0,1218,272,104,0,80,2,5,3,6,6,0,1,54,1674,14,1
1953,Graduation,Married,75027.0,0,1,925,179,133,12,77,2,9,4,6,5,0,0,73,1326,19,1
1988,PhD,Married,67546.0,0,0,864,768,150,38,172,1,4,10,5,3,0,0,38,1992,19,0
1969,Master,Together,65176.0,0,1,960,183,220,70,70,4,9,6,6,6,0,0,57,1503,21,1
1975,Master,Single,31160.0,1,0,16,25,6,1,13,2,2,0,3,8,0,0,51,61,5,1
1985,Graduation,Single,29938.0,1,0,3,7,0,2,11,2,1,0,3,6,0,0,41,23,4,1
1974,Graduation,Divorced,102692.0,0,0,168,444,32,172,148,1,6,9,13,2,0,1,52,964,28,0
1958,2n Cycle,Together,26490.0,0,0,45,52,21,20,25,2,3,1,5,6,0,0,68,163,9,0
1967,Graduation,Together,75702.0,1,1,650,353,45,42,30,5,4,6,11,8,0,0,59,1120,21,2
1974,PhD,Single,30899.0,1,0,24,8,0,0,1,2,1,0,3,6,0,0,52,33,4,1
1961,PhD,Together,63342.0,0,1,918,118,13,10,21,3,8,3,5,6,0,0,65,1080,16,1
1964,Graduation,Single,45989.0,0,1,138,87,28,24,12,4,3,2,7,3,0,0,62,289,12,1
1964,Graduation,Single,18701.0,1,1,12,2,10,6,10,4,2,0,4,5,0,0,62,40,6,2
1957,PhD,Single,40737.0,2,1,11,4,0,0,2,1,1,0,2,8,0,0,69,17,3,3
1979,Graduation,Divorced,15287.0,1,0,1,8,4,3,13,2,1,1,2,7,0,1,47,29,4,1
1968,PhD,Divorced,69674.0,0,2,554,215,11,0,24,3,10,2,10,5,0,0,58,804,22,2
1970,Master,Married,44159.0,1,0,167,62,24,13,7,4,4,1,6,5,0,0,56,273,11,1
1978,PhD,Married,37717.0,1,0,9,6,4,1,5,1,1,0,2,9,0,0,48,25,3,1
1952,Master,Together,43776.0,1,1,177,71,3,2,20,6,5,2,4,8,0,1,74,273,11,2
1966,Master,Married,38179.0,1,1,38,22,4,2,20,4,3,1,3,7,0,0,60,86,7,2
1963,Graduation,Married,80124.0,0,0,483,398,205,84,241,1,3,7,8,1,0,0,63,1411,18,0
1970,PhD,Married,38097.0,1,1,77,35,0,1,69,4,3,2,2,7,0,1,56,182,7,2
1970,Graduation,Married,72940.0,0,0,182,298,162,149,116,1,3,3,6,1,0,0,56,907,12,0
1970,Graduation,Together,22070.0,1,0,10,19,8,2,21,2,2,2,2,6,0,0,56,60,6,1
1953,Graduation,Single,69267.0,0,0,778,499,95,73,146,2,3,4,5,7,0,1,73,1591,12,0
1983,Master,Single,31788.0,1,0,16,23,0,8,6,3,3,0,4,5,1,0,43,53,7,1
1975,PhD,Together,61905.0,0,1,167,43,6,2,13,2,4,2,4,5,0,0,51,231,10,1
1960,Graduation,Married,29315.0,1,1,13,14,8,7,4,4,2,0,4,6,0,0,66,46,6,2
1963,Graduation,Divorced,33378.0,1,1,33,40,3,7,10,3,2,0,4,7,0,0,63,93,6,2
1963,PhD,Together,66313.0,0,1,625,99,10,22,7,2,6,3,12,4,0,0,63,763,21,1
1956,Graduation,Single,60714.0,0,0,216,224,101,92,162,2,7,4,10,5,0,1,70,795,21,0
